cnt	incident_id
3	
1	488651
1	488562
1	489860
1	488631
1	488563
1	488566
1	488644
1	488524
1	488531
1	488542
1	488592
1	488588
1	488569
1	488522
1	488586
1	488587
1	488613
1	488521
1	488534
1	488564
1	488537
1	488625
1	488597
1	488646
1	488607
1	488520
1	488623
1	488584
1	488540
1	488565
1	488559
1	488621
1	488579
1	488576
1	488583
1	488656
1	488553
1	489859
1	488539
1	488560
1	488602
1	488554
1	488604
1	488568
1	488654
1	488516
1	488546
1	488611
1	488571
1	488530
1	488629
1	488608
1	488655
1	488518
1	488525
1	488523
1	488548
1	488601
1	488647
1	488573
1	488585
1	488538
1	488650
1	488580
1	488615
1	488575
1	488637
1	488632
1	488627
1	488581
1	488593
1	488528
1	488635
1	488590
1	488551
1	488626
1	488634
1	488532
1	488620
1	489863
1	488582
1	488616
1	488598
1	488649
1	488636
1	488653
1	488544
1	488549
1	488596
1	488641
1	488567
1	488645
1	488624
1	488610
1	488642
1	488572
1	488606
1	488555
1	488639
1	488614
1	488561
1	488529
1	488628
1	488545
1	488541
1	488536
1	489866
1	488658
1	488574
1	488517
1	488652
1	488589
1	488622
1	488527
1	488552
1	488535
1	488648
1	488619
1	488547
1	488550
1	488633
1	488638
1	488543
1	488617
1	488600
1	488591
1	489862
1	488556
1	489864
1	488519
1	488595
1	488643
1	488557
1	489865
1	488618
1	488657
1	488630
1	488526
1	488599
1	488612
1	488640
1	488558
1	489861
1	488533
1	488605
