_time	alert_name	alert_id	incident_id	alert_source
Jul 26 2026 07:48:27	CrushFTP at 8.130.54.67:51005	1114151	489866	ASM
Jul 26 2026 07:18:27	OpenSSH (7.4) at 139.224.100.34:55044	1114150	489865	ASM
Jul 26 2026 07:03:30	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:53208	1114149	489864	ASM
Jul 26 2026 06:38:28	OpenSSH (7.4) at 139.224.100.34:35164	1114148	489863	ASM
Jul 26 2026 06:38:28	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:45820	1114147	489862	ASM
Jul 26 2026 06:33:33	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:9718	1114146	489861	ASM
Jul 26 2026 06:33:32	Insecure OpenSSH (7.4) at 139.224.100.34:35164	1114145	489860	ASM
Jul 26 2026 06:23:27	SSH Server at 139.224.100.34:401	1114063	489859	ASM
Jul 25 2026 20:42:06	Embedded System (HikVision) at 8.130.54.67:4010	1112811	488658	ASM
Jul 25 2026 20:42:06	Insecure OpenSSH (6.6.1) at 139.224.100.34:34443	1112810	488657	ASM
Jul 25 2026 20:37:06	Insecure OpenSSH (8.6) at 139.224.100.34:226	1112809	488656	ASM
Jul 25 2026 20:32:07	Splunk Platform at 8.130.54.67:10259	1112808	488655	ASM
Jul 25 2026 20:27:06	Building Control System (Automated Logic WebCTRL) at 8.130.54.67:8887	1112807	488654	ASM
Jul 25 2026 20:22:07	cPanel Web Host Manager at 8.130.54.67:8888	1112804	488651	ASM
Jul 25 2026 20:22:06	Insecure OpenSSH (6.6.1p1) (6.6.1p1-2ubuntu2.8) at 139.224.100.34:8554	1112805	488652	ASM
Jul 25 2026 20:22:06	SSH Server at 139.224.100.34:34443	1112806	488653	ASM
Jul 25 2026 20:17:06	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:49330	1112803	488650	ASM
Jul 25 2026 20:12:06	SSH Server at 139.224.100.34:2483	1112802	488649	ASM
Jul 25 2026 19:52:07	SSH Server at 139.224.100.34:12300	1112801	488648	ASM
Jul 25 2026 19:52:07	Embedded System (GoAhead) at 8.130.54.67:9101	1112800	488647	ASM
