finding_count	primary_asset
3	a464e4424dc3ad5d0dc35e8c9db646c835a316cb61e0de71c0a79e25076461d5
3	41d97968b8921bfa775af501f89a64ed4c393bcecfb23d5fd909511694056964
2	0d668d20c6603acc45291d80f82f1533a9bd3410c71ce91333132199ba6f8c62
2	f00eb21eb72d07d96dfe8499095b191be819ddbc620514dc92080ef536a6c683
2	9340ca02f0c1fc60fd3d78e6a868eba410d639525f1b4af750cd8e2522106117
2	fc42fbfe8f8d04ccf24f85acb7cb54a179d24fa997c9d3887db292d59fba9aab
2	af1849d5e7023dcb5c13fc73b45868d4aa8f518cd658b9eceefc91b7d274db32
2	bf2e476765c0db69d841c5573c9569b9eb0cecd8fadeee291583dd37bf7d2568
2	f6a4a5d0638883f17ebc386822060cc248894e12d02f3a78bbe9ed2767279f94
2	b5a132ac6bc2aebb68309716d6dbb5ba07da405158f6abcf268f1b447777c17f
